,player_name,time,longitude,latitude,ressource_id,ressource_type,Game_ID
156,Brave Cheetah,2023-05-20 10:32:38-05:00,-74.479202,46.043077,77,Type B,1
157,Majestic Kangaroo,2023-05-20 10:32:42-05:00,-74.479219,46.042994,77,Type A,1
158,Cunning Giraffe,2023-05-20 10:32:44-05:00,-74.478341,46.042136,70,Type B,1
159,Cunning Giraffe,2023-05-20 10:33:12-05:00,-74.478341,46.042136,70,Type A,1
160,Brave Cheetah,2023-05-20 10:33:34-05:00,-74.479247,46.04311,77,Type A,1
161,Enduring Beaver,2023-05-20 10:33:44-05:00,-74.479191,46.044372,20,Type B,1
162,Majestic Kangaroo,2023-05-20 10:33:52-05:00,-74.479219,46.042994,77,Type A,1
163,Cunning Giraffe,2023-05-20 10:33:59-05:00,-74.478291,46.042103,70,Type A,1
164,Brave Cheetah,2023-05-20 10:34:00-05:00,-74.479247,46.04311,77,Type B,1
165,Cunning Giraffe,2023-05-20 10:34:19-05:00,-74.478291,46.042103,70,Type B,1
166,Enduring Beaver,2023-05-20 10:34:34-05:00,-74.479191,46.044372,20,Type A,1
167,Cunning Giraffe,2023-05-20 10:34:51-05:00,-74.478291,46.042103,70,Type B,1
168,Enduring Beaver,2023-05-20 10:35:00-05:00,-74.479191,46.044372,20,Type B,1
169,Bold Owl,2023-05-20 10:35:11-05:00,-74.477825,46.042657,100,Type B,1
170,Cunning Giraffe,2023-05-20 10:35:35-05:00,-74.478291,46.042103,70,Type B,1
171,Bold Owl,2023-05-20 10:35:49-05:00,-74.477265,46.043366,100,Type A,1
172,Graceful Raccoon,2023-05-20 10:35:54-05:00,-74.479468,46.044279,19,Type A,1
173,Enduring Beaver,2023-05-20 10:36:06-05:00,-74.479233,46.04439,20,Type A,1
174,Cunning Giraffe,2023-05-20 10:36:09-05:00,-74.478327,46.042143,70,Type A,1
175,Graceful Raccoon,2023-05-20 10:36:18-05:00,-74.479468,46.044279,19,Type A,1
176,Clever Lion,2023-05-20 10:36:48-05:00,-74.479009,46.044407,12,Type A,1
177,Enduring Beaver,2023-05-20 10:36:53-05:00,-74.479219,46.044346,20,Type A,1
178,Graceful Raccoon,2023-05-20 10:36:54-05:00,-74.47948,46.044222,19,Type A,1
179,Bold Owl,2023-05-20 10:37:02-05:00,-74.477232,46.043357,100,Type A,1
180,Wandering Antelope,2023-05-20 10:37:14-05:00,-74.478332,46.042676,110,Type B,1
181,Bold Owl,2023-05-20 10:37:36-05:00,-74.477245,46.043333,100,Type A,1
182,Enduring Beaver,2023-05-20 10:37:36-05:00,-74.479219,46.044346,20,Type B,1
183,Graceful Raccoon,2023-05-20 10:37:59-05:00,-74.479479,46.044222,19,Type A,1
184,Tenacious Mongoose,2023-05-20 10:37:59-05:00,-74.478319,46.044155,86,Type B,1
185,Enduring Beaver,2023-05-20 10:38:07-05:00,-74.479219,46.044346,20,Type B,1
186,Clever Lion,2023-05-20 10:38:11-05:00,-74.47896,46.04441,12,Type A,1
187,Wandering Antelope,2023-05-20 10:38:15-05:00,-74.478332,46.042676,110,Type A,1
